                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.3172,                0.74477,                0.19633,                0.93416,                 1.4422,                0.99549,                      1,                  0.995,                0.57215,                0.99549,                      1,                  0.995,                0.79223,                 1.3477,                0.39399,                0.03168,                0.79245,                 1.6693,              0.0017954,              0.0017954,              0.0017954
                     65,                 1.3576,                0.88377,                0.19735,                 0.9246,                 1.4598,                0.91092,                0.97222,                 0.9653,                 0.5839,                0.93695,                      1,                0.97383,                0.76793,                  1.233,                0.44066,                0.02599,                0.82887,                 1.6034,              0.0017921,              0.0017921,              0.0017921
                     66,                 1.3826,                0.83281,                0.21413,                0.93567,                 1.4743,                 0.9298,                0.97222,                 0.9558,                0.53335,                0.96139,                      1,                0.97257,                0.81672,                 1.3248,                0.49551,                 0.0199,                0.79414,                 1.6118,              0.0017888,              0.0017888,              0.0017888
                     67,                 1.3854,                0.80822,                0.17519,                0.94325,                  1.474,                0.96199,                0.97222,                0.97133,                0.61487,                0.98948,                      1,                  0.995,                  0.812,                 1.3621,                0.46299,                0.01719,                0.76808,                 1.6605,              0.0017855,              0.0017855,              0.0017855
                     68,                 1.3867,                0.72954,                 0.1704,                0.91045,                 1.4577,                0.97278,                0.99303,                0.97419,                0.61027,                0.99325,                      1,                  0.995,                0.78276,                 1.2649,                0.40186,                0.01823,                0.79455,                 1.5634,              0.0017822,              0.0017822,              0.0017822
                     69,                  1.418,                0.73668,                0.18148,                0.96471,                 1.5113,                0.96498,                0.97222,                 0.9752,                0.58919,                0.99273,                      1,                  0.995,                0.78324,                 1.2673,                0.39784,                0.01678,                0.84052,                 1.5889,              0.0017789,              0.0017789,              0.0017789
                     70,                 1.2344,                0.83863,                0.19423,                0.93845,                   1.34,                0.93555,                0.97222,                0.97261,                 0.5513,                0.96373,                      1,                0.98473,                0.79651,                 1.3216,                0.43424,                0.01322,                0.88583,                 1.6884,              0.0017756,              0.0017756,              0.0017756
                     71,                 1.3675,                0.86319,                0.22617,                0.90886,                 1.5022,                 0.9033,                0.97222,                0.97184,                0.49056,                0.93309,                      1,                0.98095,                0.78513,                  1.353,                0.49204,                0.01473,                0.90895,                 1.7014,              0.0017723,              0.0017723,              0.0017723
                     72,                 1.3254,                 0.6351,                0.22072,                0.91618,                 1.4403,                0.91469,                      1,                0.97639,                 0.5425,                 0.9183,                      1,                0.98473,                0.81287,                 1.4156,                0.42455,                0.01625,                0.88648,                 1.7504,               0.001769,               0.001769,               0.001769
                     73,                 1.2829,                 0.8191,                0.17772,                0.90466,                 1.4247,                0.93589,                0.97222,                0.96799,                 0.5956,                0.96285,                      1,                 0.9823,                0.81043,                 1.3691,                 0.3995,                0.02147,                0.79916,                 1.6906,              0.0017657,              0.0017657,              0.0017657
                     74,                 1.3047,                0.73863,                0.19094,                0.86123,                 1.4217,                 0.9391,                0.97222,                0.96632,                0.58064,                0.96609,                      1,                0.98149,                0.81114,                 1.3516,                0.37625,                0.03364,                0.76763,                 1.6481,              0.0017624,              0.0017624,              0.0017624
                     75,                 1.4077,                0.84941,                0.18527,                0.86676,                 1.4434,                 0.9639,                0.97222,                0.97707,                0.58845,                0.99163,                      1,                  0.995,                0.83067,                 1.2979,                0.39658,                0.03643,                0.74802,                 1.6327,              0.0017591,              0.0017591,              0.0017591
                     76,                  1.263,                0.81951,                0.20133,                0.87172,                 1.4255,                0.97282,                0.99421,                0.97716,                0.57729,                0.99152,                      1,                  0.995,                0.82682,                 1.3324,                0.38329,                0.02722,                0.77688,                 1.6576,              0.0017558,              0.0017558,              0.0017558
                     77,                 1.3101,                0.69486,                 0.1759,                0.93511,                 1.4146,                0.99327,                      1,                  0.995,                 0.6018,                0.99327,                      1,                  0.995,                0.81256,                 1.3357,                0.37743,                0.01823,                0.77251,                 1.6268,              0.0017525,              0.0017525,              0.0017525
                     78,                 1.3036,                0.67347,                0.20264,                0.92584,                  1.446,                0.96696,                0.97222,                 0.9833,                0.60515,                0.99459,                      1,                  0.995,                0.80607,                 1.3198,                0.36324,                0.02478,                0.80125,                 1.6512,              0.0017492,              0.0017492,              0.0017492
                     79,                 1.3321,                0.65694,                0.17292,                0.92123,                 1.4181,                0.97219,                0.97092,                0.98353,                0.60034,                      1,                0.99813,                  0.995,                0.81935,                 1.3075,                0.36841,                0.01989,                0.78553,                 1.6258,              0.0017459,              0.0017459,              0.0017459
                     80,                 1.2753,                0.67098,                0.17149,                0.89979,                 1.4175,                 0.9915,                      1,                  0.995,                0.60668,                 0.9915,                      1,                  0.995,                0.83526,                 1.3894,                0.39181,                0.01864,                0.74202,                 1.6668,              0.0017426,              0.0017426,              0.0017426
